RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
50,15771873,Buccho,776.0,GERMANY,FEMALE,37.0,2,19.0,2,Yes,No,194099.12,N0,No,1,SILVR,268
51,15616550,Chidiebele,698.0,GERMANY,M,44.0,10,116363.37,2,Yes,No,198059.16,N0,No,4,SILVR,829
52,15768193,Trevisani,585.0,GERMANY,M,543.0,5,146050.97,2,No,No,86424.57,N0,No,3,SILVR,665
53,15683553,O'Brien,788.0,france,FEMALE,33.0,5,0.0,2,No,No,116978.19,N0,No,3, Gold ,982
54,15702298,llihkraP,655.0,GERMANY,M,355.0,8,38.0,1,No,No,164040.94,Yess,Yes,3,SILVR,343
55,15569590,Yoo,601.0,GERMANY,M,42.0,1,98495.72,1,Yes,No,40014.76,Yess,Yes,2,diamond,225
56,15760861,Phillipps,355.0,france,M,43.0,1,125211.92,1,Yes,Yes,113410.49,N0,No,5,SILVR,657
57,15630053,oasT,656.0,france,M,45.0,5,127864.4,1,Yes,No,87107.57,N0,No,2,Platinum,221
58,15647091,Endrizzi,725.0,GERMANY,M,19.0,0,75888.2,1,No,No,45613.75,N0,No,2,Platinum,406
59,15623944,T'ien,511.0, spain ,FEMALE,66.0,4,0.0,1,Yes,No,1643.11,Yess,Yes,5,SILVR,549
60,15804771,Velazquez,614.0,france,M,51.0,4,101.0,1,Yes,Yes,46775.28,N0,No,4,Platinum,954
61,15651280,Hunter,742.0,GERMANY,M,35.0,5,136857.0,1,No,No,84509.57,N0,No,4, Gold ,823
62,15773469,Clark,262.0,GERMANY,FEMALE,27.0,9,152328.88,2,No,No,126494.82,N0,No,5,diamond,769
63,15702014,Jeffrey,555.0, spain ,M,33.0,1,19.0,2,No,No,178798.13,N0,No,5,Platinum,481
64,15751208,Pirozzi,684.0, spain ,M,56.0,8,78707.16,1,Yes,Yes,99398.36,N0,No,4,SILVR,903
65,15592461,Jackson,603.0,GERMANY,M,26.0,4,109166.37,1,Yes,Yes,92840.67,N0,No,3,Platinum,882
66,15789484,Hammond,751.0,GERMANY,FEMALE,36.0,6,262.0,2,Yes,Yes,27758.36,N0,Yes,5, Gold ,379
67,15696061,Brownless,581.0,GERMANY,FEMALE,34.0,1,101633.04,1,Yes,No,110431.51,N0,Yes,3,Platinum,469
68,15641582,Chibugo,735.0,GERMANY,M,43.0,10,123180.01,2,Yes,Yes,196673.28,N0,Yes,3,Platinum,683
69,15638424,Glauert,101.0,GERMANY,FEMALE,35.0,5,150725.53,2,No,Yes,113656.85,N0,Yes,1, Gold ,770
70,15755648,Pisano,355.0,france,FEMALE,21.0,8,98373.26,1,Yes,No,18203.0,N0,No,5,SILVR,985
71,15703793,Konovalova,738.0,GERMANY,M,58.0,2,133745.44,4,Yes,No,28373.86,Yess,Yes,4, Gold ,725
72,15620344,McKee,813.0,france,M,29.0,6,262.0,1,Yes,No,33953.87,N0,No,3,Platinum,259
73,15812518,Palermo,657.0, spain ,FEMALE,37.0,0,163607.18,1,No,Yes,44203.55,N0,No,2, Gold ,979
74,15779052,Ballard,604.0,GERMANY,FEMALE,25.0,5,157780.84,2,Yes,Yes,58426.81,N0,No,2,SILVR,988
75,15770811,Wallace,519.0,france,M,36.0,9,0.0,2,No,Yes,145562.4,N0,No,2,Platinum,833
76,15780961,Cavenagh,735.0,france,FEMALE,355.0,1,178718.19,2,Yes,No,22388.0,N0,No,1,Platinum,527
77,15614049,Hu,664.0,france,M,55.0,8,0.0,2,Yes,Yes,139161.64,N0,No,5,SILVR,220
78,15662085,Read,678.0,france,FEMALE,32.0,9,0.0,1,Yes,Yes,148210.64,N0,No,4, Gold ,983
79,15575185,Bushell,757.0, spain ,M,33.0,5,77253.22,1,No,Yes,194239.63,N0,No,3,SILVR,582
80,15803136,Postle,416.0,GERMANY,FEMALE,41.0,10,122189.66,2,Yes,No,98301.61,N0,No,3,SILVR,281
81,15706021,Buley,665.0,france,FEMALE,34.0,1,96645.54,2,No,No,171413.66,N0,No,3,diamond,798
82,15663706,Leonard,38.0,france,FEMALE,32.0,2,0.0,1,Yes,No,136458.19,Yess,Yes,5,SILVR,917
83,15641732,Mills,543.0,france,FEMALE,36.0,3,0.0,2,No,No,26019.59,N0,No,2,diamond,255
84,15701164,Onyeorulu,506.0,france,FEMALE,34.0,4,543.0,1,Yes,Yes,159235.29,N0,No,4,SILVR,511
85,15738751,Beit,493.0,france,FEMALE,46.0,4,0.0,2,Yes,No,1907.66,N0,No,1,SILVR,498
86,15805254,Ndukaku,652.0, spain ,FEMALE,75.0,10,0.0,2,Yes,Yes,114675.75,N0,No,5,diamond,651
87,15762418,Gant,750.0, spain ,M,22.0,3,121681.82,1,Yes,No,,Yess,Yes,2,SILVR,852
88,15625759,Rowley,729.0,france,M,30.0,9,0.0,2,Yes,No,151869.35,N0,No,1,diamond,19.0
89,15622897,Sharpe,646.0,france,FEMALE,46.0,4,0.0,3,Yes,No,93251.42,Yess,Yes,3,Platinum,470
90,15767954,Osborne,635.0,GERMANY,FEMALE,28.0,3,81623.67,2,Yes,Yes,156791.36,N0,No,1,diamond,659
91,15757535,Heap,647.0, spain ,FEMALE,44.0,5,0.0,3,Yes,Yes,174205.22,Yess,Yes,3,diamond,752
92,15731511,Ritchie,808.0,france,M,45.0,7,118626.55,2,Yes,No,147132.46,N0,No,1,SILVR,559
93,15809248,Cole,524.0,france,FEMALE,36.0,10,0.0,2,Yes,No,109614.57,N0,No,2, Gold ,375
94,15640635,Capon,769.0,france,M,29.0,8,0.0,2,Yes,Yes,172290.61,N0,No,2,diamond,411
95,15676966,Capon,730.0, spain ,M,42.0,4,0.0,2,No,Yes,85982.47,N0,No,4,diamond,722
96,15699461,Fiorentini,515.0, spain ,M,35.0,10,176273.95,1,No,Yes,121277.78,N0,No,1, Gold ,231
97,15738721,Graham,773.0, spain ,M,41.0,9,102827.44,1,No,Yes,64595.25,N0,No,5,diamond,488
98,15693683,Yuille,814.0,GERMANY,M,29.0,8,97086.4,2,Yes,Yes,197276.13,N0,No,2, Gold ,965
99,15604348,Allard,710.0, spain ,M,22.0,8,0.0,2,No,No,101.0,N0,No,4,SILVR,289
100,15633059,Fanucci,413.0,france,M,34.0,9,0.0,2,No,No,6534.18,N0,No,1,Platinum,449
101,15808582,Fu,665.0,france,FEMALE,40.0,6,0.0,1,Yes,Yes,161848.03,N0,No,2,SILVR,651
102,15743192,Hung,623.0,france,FEMALE,543.0,6,0.0,2,No,No,167162.43,N0,No,2,diamond,520
103,15580146,Hung,738.0,france,M,543.0,9,82674.15,1,Yes,No,41970.72,N0,No,4,diamond,234
104,15776605,Bradley,528.0, spain ,M,36.0,7,0.0,2,Yes,No,60536.56,N0,No,5,SILVR,458
105,15804919,Dunbabin,670.0, spain ,FEMALE,65.0,1,0.0,1,Yes,Yes,177655.68,Yess,Yes,2, Gold ,915
106,15613854,Mauldon,622.0, spain ,FEMALE,46.0,4,107073.27,2,Yes,Yes,30984.59,Yess,Yes,3, Gold ,299
107,15599195,Stiger,582.0,GERMANY,M,32.0,1,88938.62,1,Yes,Yes,10054.53,N0,No,4, Gold ,838
108,15812878,Parsons,785.0,GERMANY,FEMALE,36.0,2,99806.85,1,No,Yes,36976.52,N0,No,5,Platinum,786
109,15602312,Walkom,605.0, spain ,M,33.0,5,,1,No,No,71862.79,N0,No,3,diamond,509
110,15744689,T'ang,479.0,GERMANY,M,543.0,9,92833.89,1,Yes,No,99449.86,Yess,Yes,3,diamond,328
111,15803526,Eremenko,685.0,GERMANY,M,30.0,3,90536.81,1,No,Yes,63082.88,N0,No,4,SILVR,347
112,15665790,Rowntree,538.0,GERMANY,M,39.0,7,108055.1,2,Yes,No,27231.26,N0,No,5,SILVR,534
113,15715951,Thorpe,562.0,france,M,42.0,2,100238.35,1,No,No,86797.41,N0,No,5,Platinum,709
114,15591100,Chiemela,675.0, spain ,M,36.0,9,106190.55,1,No,Yes,22994.32,N0,No,4,SILVR,749
115,15609618,Fanucci,721.0,GERMANY,M,28.0,9,154475.54,2,No,Yes,101300.94,Yess,Yes,5,Platinum,541
116,15675522,Ko,628.0,GERMANY,FEMALE,30.0,9,132351.29,2,Yes,Yes,74169.13,N0,No,2, Gold ,736
117,15705512,Welch,668.0,GERMANY,FEMALE,37.0,6,167864.4,1,Yes,No,799.0,N0,No,4,SILVR,529
118,15698028,Duncan,506.0,france,FEMALE,41.0,1,0.0,2,Yes,No,31766.3,N0,No,4, Gold ,594
119,15661670,Chidozie,524.0,GERMANY,FEMALE,31.0,8,107818.63,1,Yes,No,199725.39,Yess,Yes,1,SILVR,462
120,15600781,Wu,699.0,GERMANY,M,34.0,4,185173.81,2,Yes,No,120834.48,N0,No,3,Platinum,429
121,15682472,Culbreth,828.0,france,M,34.0,8,129433.34,2,No,No,38131.77,N0,No,4,SILVR,370
122,15580203,Kennedy,674.0, spain ,M,39.0,6,120193.42,1,No,No,100130.95,N0,No,1,Platinum,510
123,15690673,Cameron,656.0,france,FEMALE,39.0,6,0.0,2,Yes,No,141069.88,N0,No,4,diamond,355.0
124,15760085,Calabresi,,GERMANY,FEMALE,48.0,10,126384.42,1,Yes,Yes,198129.36,N0,No,1, Gold ,462
125,15779659,Zetticci,625.0,france,FEMALE,28.0,3,0.0,1,No,No,183646.41,N0,No,4, Gold ,718
126,15627360,Fuller,432.0,france,M,42.0,9,101.0,1,Yes,No,110265.24,Yess,Yes,3,diamond,437
127,15671137,MacDonald,549.0,france,FEMALE,52.0,1,0.0,1,No,Yes,8636.05,Yess,Yes,4,diamond,485
128,15782688,Piccio,625.0,GERMANY,M,56.0,0,148507.24,1,Yes,No,46824.08,Yess,Yes,3,Platinum,101.0
129,15575492,Kennedy,828.0,france,FEMALE,,7,0.0,2,Yes,No,171378.77,N0,No,2,Platinum,666
130,15591607,Fernie,770.0,france,M,24.0,9,101827.07,1,Yes,No,167256.35,N0,No,4, Gold ,730
131,15740404,He,758.0,france,FEMALE,34.0,3,0.0,2,Yes,Yes,124226.16,N0,No,2,Platinum,375
132,15718369,Kaodilinakachukwu,795.0,GERMANY,FEMALE,33.0,9,130862.43,1,Yes,Yes,114935.21,N0,No,5, Gold ,411
133,15677871,Cocci,687.0,france,M,38.0,9,122570.87,1,Yes,Yes,35608.88,N0,No,4,diamond,595
134,15642004,Alekseeva,686.0,france,M,25.0,1,0.0,2,No,Yes,16459.37,N0,No,1,diamond,578
135,15712543,Chinweike,789.0,GERMANY,M,39.0,7,124828.46,2,Yes,Yes,124411.08,N0,No,2,Platinum,377
136,15584518,Arthur,589.0,GERMANY,FEMALE,50.0,5,144895.05,2,Yes,Yes,34941.23,N0,No,2, Gold ,831
137,15802381,Li,461.0,GERMANY,FEMALE,34.0,5,63663.93,1,No,Yes,167784.28,N0,No,1,SILVR,497
138,15610156,Ma,637.0,france,M,40.0,2,133463.1,1,No,Yes,93165.34,N0,No,1,Platinum,374
139,15594408,Chia,584.0, spain ,FEMALE,48.0,2,,1,Yes,No,75161.25,Yess,No,4,diamond,814
140,15640905,Vasin,579.0, spain ,FEMALE,35.0,1,129490.36,2,No,Yes,8590.83,Yess,Yes,4, Gold ,247
141,15698932,Groves,756.0,GERMANY,M,355.0,10,137452.09,1,Yes,No,189543.9,N0,No,5,Platinum,965
142,15724944,Tien,994.5,france,M,34.0,7,0.0,2,Yes,Yes,180427.24,N0,No,3,SILVR,912
143,15628145,Forwood,682.0,france,FEMALE,43.0,5,125851.93,1,Yes,Yes,193318.33,N0,No,4, Gold ,462
144,15713483,Greeves,793.0, spain ,M,262.0,2,0.0,1,Yes,No,159123.82,Yess,Yes,5, Gold ,883
145,15612350,Taylor,691.0,france,FEMALE,31.0,5,40915.55,1,Yes,No,126213.84,Yess,No,2,SILVR,402
146,15800703,Madukwe,485.0, spain ,FEMALE,21.0,5,113157.22,1,Yes,Yes,54141.5,N0,No,4, Gold ,764
147,15705707,Bennelong,635.0, spain ,FEMALE,29.0,8,138296.94,2,Yes,No,141075.51,N0,No,1,Platinum,608
148,15754105,Olisanugo,650.0,france,M,37.0,5,101.0,1,No,No,24495.03,N0,No,5,Platinum,652
149,15703264,Chukwufumnanya,735.0,france,M,44.0,9,120681.63,1,Yes,No,74836.34,N0,No,2,SILVR,520
150,15794413,Harris,416.0,france,M,32.0,0,0.0,2,No,Yes,878.87,N0,No,5, Gold ,884
151,15650237,Morgan,754.0, spain ,FEMALE,32.0,7,0.0,2,Yes,No,89520.75,N0,No,1,SILVR,800
152,15759618,Alexeeva,535.0,france,FEMALE,48.0,9,0.0,1,Yes,No,149892.79,Yess,Yes,4, Gold ,697
153,15811589,Metcalfe,716.0, spain ,M,42.0,8,0.0,2,Yes,No,180800.42,N0,No,2,SILVR,427
154,15689044,Humphries,539.0,france,M,37.0,2,127609.59,1,Yes,No,98646.22,N0,No,1,diamond,620
155,15709368,Milne,614.0,france,FEMALE,43.0,6,0.0,2,Yes,Yes,109041.53,N0,No,1,Platinum,318
156,15679145,Chou,706.0, spain ,M,57.0,7,0.0,1,Yes,No,17941.16,Yess,Yes,1, Gold ,701
157,15655007,Li,758.0,france,FEMALE,33.0,7,0.0,2,No,No,82996.47,N0,No,4,Platinum,262.0
158,15623595,Clayton,586.0, spain ,FEMALE,28.0,2,0.0,2,Yes,Yes,92067.35,N0,No,5,Platinum,635
159,15589975,Maclean,646.0,france,FEMALE,73.0,6,97259.25,1,No,Yes,104719.66,N0,No,1,Platinum,250
160,15804017,Chigolum,19.0,GERMANY,FEMALE,33.0,4,123246.7,1,No,No,112687.57,N0,No,3,SILVR,662
161,15692132,Wilkinson,543.0, spain ,FEMALE,22.0,6,101060.25,1,No,Yes,84699.56,N0,No,2, Gold ,666
162,15641122,Wei,684.0,france,M,30.0,2,0.0,2,Yes,No,83473.82,N0,No,4,diamond,699
163,15630910,Treacy,800.0,france,FEMALE,49.0,7,108007.36,1,No,No,47125.11,N0,No,3,Platinum,855
164,15680772,Hu,721.0, spain ,FEMALE,36.0,2,0.0,2,Yes,Yes,106977.8,N0,No,5,SILVR,534
165,15658929,Taverner,683.0, spain ,M,29.0,0,133702.89,1,Yes,No,55582.54,Yess,Yes,1,Platinum,388
166,15585388,Sherman,660.0,GERMANY,M,31.0,9,125189.75,2,Yes,Yes,139874.43,N0,No,5, Gold ,612
167,15724623,Taubman,704.0,GERMANY,FEMALE,24.0,7,113034.22,1,Yes,No,162503.48,Yess,Yes,2,Platinum,801
168,15588537,Robinson,615.0, spain ,FEMALE,41.0,9,,1,Yes,No,196499.96,N0,No,1,Platinum,561
169,15574692,Pinto,667.0, spain ,FEMALE,39.0,2,19.0,2,Yes,No,40721.24,Yess,Yes,5,Platinum,308
170,15611325,Wood,682.0,GERMANY,M,24.0,9,57929.81,2,No,No,53134.3,N0,No,5,SILVR,643
171,15587562,Hawkins,484.0,france,FEMALE,29.0,4,130114.39,1,Yes,No,164017.89,N0,No,1, Gold ,249
172,15613172,Sun,628.0,GERMANY,M,27.0,5,95826.49,2,Yes,No,155996.96,N0,Yes,2,SILVR,818
173,15651022,Yost,480.0,GERMANY,M,44.0,10,129608.57,1,Yes,No,5472.7,Yess,Yes,1, Gold ,775
174,15586310,Ting,578.0,france,M,30.0,4,169462.09,1,Yes,No,112187.11,N0,Yes,5,diamond,872
175,15625524,Rowe,512.0,france,M,19.0,5,0.0,2,Yes,Yes,146457.83,N0,No,3,diamond,435
176,15755209,Fu,484.0, spain ,FEMALE,35.0,7,133868.21,1,Yes,Yes,27286.1,N0,No,2,SILVR,415
177,15645248,Ho,510.0,france,FEMALE,30.0,0,0.0,2,Yes,Yes,130553.47,N0,No,2,diamond,38.0
178,15790355,Okechukwu,262.0,GERMANY,M,36.0,5,190479.48,2,No,No,179351.89,N0,No,5,Platinum,929
179,15762615,Campbell,597.0, spain ,FEMALE,40.0,8,101993.12,1,No,Yes,94774.12,N0,No,5,SILVR,681
180,15625426,Ashbolt,754.0,GERMANY,FEMALE,55.0,3,161608.81,1,Yes,No,8080.85,Yess,Yes,4, Gold ,810
181,15716334,Rozier,850.0, spain ,FEMALE,45.0,2,122311.21,1,Yes,Yes,19482.5,N0,No,5, Gold ,739
182,15789669,aisH,510.0,france,M,65.0,2,38.0,2,Yes,Yes,48071.61,N0,No,1,SILVR,280
183,15621075,Ogbonnaya,778.0,GERMANY,FEMALE,45.0,1,543.0,2,Yes,No,174531.27,N0,No,2,diamond,250
184,15810845,T'ang,636.0,france,M,42.0,2,0.0,2,Yes,Yes,55470.78,N0,No,4,Platinum,991
185,15719377,Cocci,355.0,france,FEMALE,50.0,4,0.0,1,Yes,Yes,8546.87,Yess,Yes,2, Gold ,482
186,15654506,Chang,514.0,france,M,32.0,8,0.0,2,Yes,No,19.0,N0,No,4,Platinum,423
187,15771977,T'ao,730.0,france,FEMALE,39.0,1,99010.67,1,Yes,No,194945.8,N0,No,5, Gold ,260
188,15708710,Ford,525.0, spain ,FEMALE,37.0,0,0.0,1,No,Yes,131521.72,N0,No,5,SILVR,642
189,15726676,Marshall,616.0, spain ,M,30.0,5,0.0,2,No,Yes,196108.51,N0,No,4,Platinum,701
190,15587421,Tsai,687.0,GERMANY,FEMALE,34.0,7,111388.18,2,Yes,No,148564.76,N0,No,4, Gold ,570
191,15726931,Onwumelu,715.0,france,FEMALE,41.0,8,56214.85,2,No,No,92982.61,Yess,Yes,4, Gold ,790
192,15771086,Graham,512.0,france,FEMALE,36.0,3,84327.77,2,Yes,No,17675.36,N0,No,5,Platinum,727
193,15756850,Golovanov,479.0,france,M,40.0,1,0.0,2,No,No,114996.43,N0,No,3,SILVR,909
194,15702741,Potts,601.0,france,M,32.0,8,93012.89,1,Yes,No,86957.42,N0,No,2, Gold ,799
195,15679200,Crawford,799.0, spain ,M,29.0,9,61710.44,2,Yes,No,128077.8,N0,No,1,diamond,520
196,15594815,Aleshire,807.0,france,M,35.0,3,174790.15,1,Yes,Yes,600.36,N0,No,3,SILVR,861
197,15635905,Moran,616.0, spain ,FEMALE,32.0,6,0.0,2,Yes,Yes,43001.46,N0,No,5, Gold ,512
198,15777892,Samsonova,721.0,GERMANY,M,37.0,3,107720.64,1,Yes,Yes,158591.12,N0,No,1,Platinum,478
199,15656176,Jenkins,501.0,france,M,57.0,10,0.0,2,Yes,Yes,47847.19,N0,No,5,Platinum,374
200,15811127,Volkov,521.0,france,M,35.0,6,96423.84,1,Yes,No,10488.44,N0,No,4,Platinum,280
201,15604482,Chiemezie,850.0, spain ,M,30.0,2,355.0,1,Yes,Yes,5978.2,N0,No,2,diamond,615
202,15622911,Jude,759.0,france,M,42.0,4,19.0,1,No,Yes,121409.06,N0,No,3, Gold ,435
203,15600974,He,516.0, spain ,M,50.0,5,0.0,1,No,Yes,146145.93,Yess,Yes,5, Gold ,509
204,15727868,Onuora,711.0,france,FEMALE,38.0,2,129022.06,2,Yes,Yes,14374.86,Yess,Yes,4,diamond,799.0
205,15627801,Ginikanwa,512.0, spain ,M,33.0,3,176666.62,1,Yes,No,94670.77,N0,No,1,Platinum,726
206,15773039,Ku,550.0,france,M,37.0,3,0.0,1,Yes,Yes,179670.31,N0,No,3, Gold ,516
207,15755262,McDonald,608.0, spain ,FEMALE,41.0,3,89763.84,1,No,No,199304.74,Yess,Yes,3,Platinum,639
208,15679531,Collins,618.0,france,M,34.0,5,262.0,1,Yes,Yes,151954.39,N0,No,2,SILVR,512
209,15684181,Hackett,643.0,france,M,45.0,5,0.0,1,Yes,No,142513.5,Yess,Yes,3, Gold ,730
210,15612087,Dike,671.0,france,M,45.0,2,106376.85,1,No,Yes,158264.62,N0,No,3,diamond,244
211,15752047,Trevisano,689.0,GERMANY,M,33.0,2,161814.64,2,Yes,No,169381.9,N0,No,3,Platinum,292
212,15624592,Tan,603.0,france,M,31.0,8,0.0,2,Yes,Yes,169915.02,N0,No,3, Gold ,245
213,15573152,Glassman,620.0,france,FEMALE,41.0,9,0.0,2,No,No,88852.47,N0,No,3,diamond,848
214,15594917,Miller,676.0,france,FEMALE,34.0,1,63095.01,1,Yes,Yes,40645.81,N0,No,3,SILVR,974
215,15785542,Kornilova,572.0,GERMANY,M,26.0,4,118287.01,2,No,No,60427.3,N0,No,4,diamond,958
216,15723488,Watson,668.0,GERMANY,M,47.0,7,106854.21,1,No,Yes,157959.02,Yess,Yes,3, Gold ,629
217,15680920,Marchesi,695.0,france,M,46.0,7,49512.55,1,Yes,No,133007.34,N0,No,3,diamond,310
218,15786308,Millar,730.0, spain ,FEMALE,33.0,9,0.0,2,No,No,176576.62,N0,No,1,SILVR,621
219,15659366,Shih,807.0,france,M,43.0,1,105799.32,2,Yes,No,34888.04,Yess,Yes,4,diamond,924
220,15774854,Fuller,592.0,france,M,54.0,8,0.0,1,Yes,Yes,28737.71,Yess,Yes,2,Platinum,359
221,15725311,Hay,726.0,france,FEMALE,31.0,9,114722.05,2,Yes,Yes,98178.57,N0,No,5,SILVR,811
222,15787155,Yang,514.0, spain ,M,30.0,7,0.0,1,No,Yes,125010.24,N0,No,4,diamond,583
223,15727829,McIntyre,101.0,france,M,42.0,2,0.0,2,Yes,Yes,167984.61,N0,No,5,SILVR,959
224,15733247,Stevenson,850.0,france,M,33.0,10,0.0,1,Yes,No,4861.72,Yess,Yes,1,SILVR,359
225,15568748,Poole,671.0,GERMANY,M,543.0,6,99564.22,1,Yes,Yes,108872.45,Yess,Yes,3,Platinum,901
226,15699029,Bagley,355.0,france,M,37.0,4,170557.91,2,Yes,No,198252.88,N0,No,5, Gold ,729
